id,text,user_id,created_at
1053122744458641409,Saya menambahkan video ke playlist @YouTube https://t.co/NKw1D4h4Oj 🎥 VENOM (2018) | Full Movie Trailer in Full HD | 1080p,320662777,2018-10-19 03:16:43
1053087767859785728,I liked a @YouTube video https://t.co/SSRve683fj Behind the Scenes: Capturing Eminem’s “Venom” with Pixel 3,2812369622,2018-10-19 00:57:43
1053083365128101889,Ini aplikasi berasa venom,2305749199,2018-10-19 00:40:14
1052984233428430848,Venom || Eminem,69965933,2018-10-18 18:06:19
1052942101439221760,"Btw, abis gajian mau nonton Venom lagi ah.",282888414,2018-10-18 15:18:54
1052911450942005250,Slow loris venom is one of the many reasons they should never be kept as a pet. Even experienced handlers in the wi… https://t.co/iXvSTvPPeX,441002248,2018-10-18 13:17:06
1052897193043079168,"@JamMurdo You're right! Slow lorises mix saliva and oil from their arms, so even if we lick our elbows they don't h… https://t.co/KUqAoZMAI4",441002248,2018-10-18 12:20:27
1052889838897131522,"Pantesan #Venom Sekarang Berkuasa.!! 
Ternyata #Spiderman Ditangkap #Polisi,, Eh itu #Spiderman Apa #Spiderwoman Ya… https://t.co/PtX6tDzd5Q",925317966639521793,2018-10-18 11:51:13
1052840870511345664,I liked a @YouTube video https://t.co/XdBwnwW5so EXCLUSIVE - Eminem Performs “Venom” from the Empire State Building! Presented by,41331601,2018-10-18 08:36:39
1052828927163592706,"I was forced to see venom and although I did not enjoy this film, it's still a funnier parody on superhero films than deadpool is.",936592957683257344,2018-10-18 07:49:11
1052816555476566016,@rlthingy2 Venom?,1052732707615039489,2018-10-18 07:00:01
1052785271916388352,"NEW Oct 2018!
------
• Featuring :
RAOFE : Silver Venom - Black
Available S M L XL
Check the detail raofe.catalog… https://t.co/HcJLV7S2lr",3590869634,2018-10-18 04:55:43
